id;input_text;language;persist;detected_language;output_text
1;../fake-data/blob/hipster.txt;CATALAN;false;Coordinator Personal Fantastic;../fake-data/blob/hipster.txt
2;../fake-data/blob/hipster.txt;ENGLISH;false;Cambodia JSON;../fake-data/blob/hipster.txt
3;../fake-data/blob/hipster.txt;CHINESE;false;Brook Quality Shoes;../fake-data/blob/hipster.txt
4;../fake-data/blob/hipster.txt;FRENCH;true;Arkansas payment;../fake-data/blob/hipster.txt
5;../fake-data/blob/hipster.txt;ITALIAN;true;Regional Cambridgeshire compelling;../fake-data/blob/hipster.txt
6;../fake-data/blob/hipster.txt;JAPANESE;false;repurpose;../fake-data/blob/hipster.txt
7;../fake-data/blob/hipster.txt;ITALIAN;false;Parkways connecting sticky;../fake-data/blob/hipster.txt
8;../fake-data/blob/hipster.txt;RUSSIAN;true;actuating Liaison;../fake-data/blob/hipster.txt
9;../fake-data/blob/hipster.txt;ITALIAN;true;PCI;../fake-data/blob/hipster.txt
10;../fake-data/blob/hipster.txt;ARABIC;true;content-based Global;../fake-data/blob/hipster.txt
